racedate,racecoursename,racename,racetypehorse,racetypeconditions,racetypehs,ages,oldraceclass,distance,going,norunners,horsename,sirename,trainername,jockeyname,allowance,FINALPOS,lbw,winsp,winsppos,bfsp,bfpsp,fsratingrank,fsrating,fsraceno,draw,damname,damsirename,racetime,totalruns,isPlaced,isBFplaced,SNAPSHOTID
8/21/15,Sandown,Invest AD/British Stallion Studs EBF Maiden Stakes Div 2,Mdn,,Stk,2yo,E,7,GdSf,10,Stormy Antarctic,Stormy Atlantic(USA),Ed Walker,Antonio Fresu,0,1,-2.25,1.75,1,2.96,1.41,1,92.4,2015TH2104,3,Bea Remembered,Doyen(IRE),16:05,2,1,1,2016-T-01A
7/27/15,Ayr,Racing UK Mobile Median Auction Maiden Stakes,Mdn,,Stk,2yo,E,6,GdSf,8,Farkle Minkus,Kheleyf(USA),K Dalgleish,P Makin,0,1,-5,1.38,1,2.53,1.23,1,95.9,2015TG2701,7,Majestic Diva(IRE),Royal Applause,14:00,1,1,1,2016-T-01A
7/21/15,Musselburgh,New Mr and Mrs McKinlay Maiden Auction Stakes,Mdn,,Stk,2yo,E,7,Good,5,Livella Fella(IRE),Strategic Prince,K Dalgleish,P McDonald,0,2,0.1,1.75,1,3.1,1.5,1,94.9,2015TG2116,4,Ardent Lady,Alhaarth(IRE),14:45,4,1,1,2016-T-01A
6/5/15,Catterick,British Stallion Studs EBF Maiden Stakes,Mdn,,Stk,2yo,E,5,GdFm,7,Glenrowan Rose(IRE),Bushranger(IRE),K Dalgleish,P Makin,0,1,-0.3,1.88,1,2.94,1.69,1,92.8,2015TF0508,4,Choice House(USA),Chester House(USA),13:40,1,1,1,2016-T-01A
6/4/15,Lingfield,C W Energy Maiden Auction Stakes,Mdn,,Stk,3yo,E,11.5,GdFm,5,Justice Belle(IRE),Montjeu(IRE),Ed Walker,Antonio Fresu,0,1,-3.25,0.57,1,1.62,1.05,1,92.7,2015TF0417,3,Metaphor(USA),Woodman(USA),14:40,5,1,1,2016-T-01A
4/22/15,Epsom,Investec Specialist Cash Products Maiden Stakes,Mdn,,Stk,3yo+,E,8.5,GdFm,6,Mezajy(IRE),Makfi,Ed Walker,William Buick,0,1,-0.2,1,1,2,1.36,1,92.8,2015TD2212,5,Maidin Maith(IRE),Montjeu(IRE),16:30,3,1,1,2016-T-01A
10/8/14,Nottingham,32Red Casino EBF Stallions Maiden Stakes Div 1,Mdn,,Stk,2yo,E,8.5,Soft,9,Stoked(IRE),Fast Company(IRE),Ed Walker,G Baker,0,1,-4,2.5,1,3.83,1.41,1,98,2014TJ0811,9,Es Que,Inchinor,15:20,2,1,1,2016-T-01A
9/26/14,Haydock,Irish Stallion Farms EBF Vale UK Maiden Fillies Stakes Div 2,Mdn,,Stk,2yo,E,6,Good,10,Goodnightsuzy(IRE),Azamour(IRE),Ed Walker,R Kingscote,0,1,-0.75,2.5,1,3.95,1.68,1,83.9,2014TI2603,3,Suzy Bliss,Spinning World(USA),14:30,1,1,1,2016-T-01A
8/2/14,Thirsk,EBF Stallions Maiden Stakes,Mdn,,Stk,2yo,D,5,GdSf,11,Chances Are(IRE),Dandy Man(IRE),K Dalgleish,T Eaves,0,1,-2,1.25,1,2.44,1.16,1,94.2,2014TH0236,7,Incendio,Siberian Express(USA),13:55,1,1,1,2016-T-01A
